id,ad,sehir,kategori,fiyat_seviyesi,puan,etiketler,enlem,boylam
245,Sultanahmet Seyir Tepesi,Istanbul,gezi,2,4.3,kahve yesillik tarihi calisma,41.006877,28.980062
246,Karakoy Lokantasi (24),Istanbul,restoran,2,4.2,kitap aile deniz_manzarasi tatli calisma,41.023086,28.981478
247,Karakoy Kutuphanesi (25),Istanbul,kultur,1,4.7,yesillik gurme kitap romantik,41.026237,28.979479
248,Besiktas Sofrasi,Istanbul,restoran,4,4.5,gurme sessiz sanat kitap kahve,41.043372,29.003472
249,Kadikoy Kultur Merkezi,Istanbul,kultur,2,4.5,tatli sessiz calisma sanat yesillik,40.99174,29.022851
250,Uskudar Sanat Galerisi (27),Istanbul,kultur,2,4.1,sessiz sanat deniz_manzarasi,41.022053,29.017413
251,Bebek Kultur Merkezi,Istanbul,kultur,2,4.7,calisma kitap romantik,41.073856,29.038771
252,Beyoglu Sanat Galerisi (24),Istanbul,kultur,1,4.2,calisma kitap deniz_manzarasi kahve sessiz,41.030984,28.975248
253,Bebek Sanat Galerisi (25),Istanbul,kultur,2,4.7,yesillik aile tarihi,41.078094,29.043623
254,Moda Korusu,Istanbul,doga,3,4.1,romantik yesillik deniz_manzarasi sessiz kahve,40.980838,29.03221
255,Bebek Korusu,Istanbul,doga,3,4.6,calisma romantik tatli,41.074435,29.044803
256,Nisantasi Kahvecisi (23),Istanbul,kafe,3,4.0,gurme sanat tarihi aile,41.0493,28.990924
257,Moda Botanık Bahcesi,Istanbul,doga,4,4.2,tarihi romantik gurme,40.97943,29.028497
258,Sultanahmet Atolyesi (28),Istanbul,kafe,2,4.5,calisma tarihi sanat aile,41.006187,28.980941
259,Nisantasi Kitap Kafe (24),Istanbul,kafe,3,4.5,kahve kitap deniz_manzarasi tatli aile,41.052949,28.995384
260,Nisantasi Seyir Tepesi,Istanbul,gezi,1,4.0,yesillik tarihi deniz_manzarasi kahve,41.048852,28.989042
261,Uskudar Meselik Alani (28),Istanbul,doga,2,4.7,tarihi sanat kahve,41.0261,29.013826
262,Nisantasi Kahvecisi (26),Istanbul,kafe,3,4.0,sanat calisma romantik kitap tatli,41.05131,28.995233
263,Beyoglu Seyir Tepesi,Istanbul,gezi,3,4.2,deniz_manzarasi aile kitap yesillik,41.031945,28.972506
264,Karakoy Kutuphanesi (26),Istanbul,kultur,2,4.5,deniz_manzarasi sessiz aile,41.025933,28.977663
265,Sultanahmet Atolyesi (29),Istanbul,kultur,2,4.0,romantik tatli deniz_manzarasi tarihi calisma,41.007445,28.979588
266,Nisantasi Seyir Tepesi (27),Istanbul,gezi,2,4.8,calisma tarihi aile deniz_manzarasi romantik,41.053879,28.994063
267,Karakoy Meselik Alani (27),Istanbul,doga,2,4.1,kitap yesillik calisma,41.022439,28.980141
268,Moda Muzesi,Istanbul,kultur,1,4.9,gurme tatli aile romantik,40.980113,29.027423
269,Uskudar Millet Bahcesi (29),Istanbul,doga,1,4.1,aile sanat sessiz tarihi kahve,41.026275,29.020388
270,Sultanahmet Sofrasi (30),Istanbul,restoran,1,3.9,gurme kitap aile tarihi romantik,41.008901,28.977506
271,Karakoy Meselik Alani (28),Istanbul,doga,2,4.5,yesillik tarihi aile,41.025464,28.979501
272,Bebek Mutfagi,Istanbul,restoran,2,4.2,aile kahve gurme tatli,41.080982,29.041862
273,Karakoy Millet Bahcesi (29),Istanbul,doga,1,4.6,kitap yesillik tarihi kahve deniz_manzarasi,41.023786,28.974781
274,Kadikoy Iskelesi (21),Istanbul,gezi,2,4.3,calisma sanat tatli gurme romantik,40.985875,29.0274
275,Uskudar Bistro (30),Istanbul,restoran,2,4.3,gurme aile kitap sessiz calisma,41.02524,29.014476
276,Kadikoy Meyhanesi (22),Istanbul,restoran,1,4.2,romantik kahve sanat,40.987227,29.02663
277,Uskudar Kahvecisi,Istanbul,kafe,2,4.7,tarihi romantik aile gurme kahve,41.027366,29.016916
278,Besiktas Pasaji,Istanbul,gezi,1,4.6,kahve calisma deniz_manzarasi kitap,41.043721,29.007377
279,Bebek Muzesi,Istanbul,kultur,2,4.3,tatli yesillik sanat kitap,41.077771,29.042598
280,Besiktas Mutfagi,Istanbul,restoran,3,4.9,sessiz yesillik tatli calisma,41.045736,29.006955
281,Bebek Muzesi (29),Istanbul,kultur,3,4.0,yesillik tatli kahve sessiz,41.078478,29.041325
282,Kadikoy Sahil Yolu (23),Istanbul,gezi,1,3.9,romantik yesillik sanat kitap,40.989301,29.022346
283,Bebek Pasaji (30),Istanbul,gezi,3,4.5,yesillik sanat calisma aile kahve,41.079581,29.038333
284,Karakoy Meydani (30),Istanbul,gezi,1,4.6,yesillik kahve calisma,41.024598,28.976789
285,Sultanahmet Millet Bahcesi (31),Istanbul,doga,2,4.1,calisma sessiz romantik,41.005328,28.974114
286,Bebek Mutfagi (31),Istanbul,restoran,4,4.9,deniz_manzarasi sanat kahve tatli aile,41.080832,29.040341
287,Besiktas Meyhanesi,Istanbul,restoran,1,4.5,gurme aile yesillik,41.04017,29.004577
288,Nisantasi Muzesi,Istanbul,kultur,3,4.8,aile sanat deniz_manzarasi,41.048604,28.995357
289,Uskudar Atolyesi (32),Istanbul,kultur,1,4.3,kahve yesillik tarihi kitap aile,41.026656,29.019951
290,Karakoy Atolyesi (31),Istanbul,kultur,3,4.6,romantik tatli kitap yesillik tarihi,41.023583,28.976269
291,Kadikoy Atolyesi (24),Istanbul,kafe,1,4.9,tatli yesillik gurme,40.991271,29.024677
292,Karakoy Sofrasi,Istanbul,restoran,1,4.5,kahve gurme tarihi deniz_manzarasi,41.023415,28.980995
293,Besiktas Bakery & Coffee (32),Istanbul,kafe,3,3.8,aile gurme kahve,41.044005,29.007808
294,Uskudar Coffee Co. (33),Istanbul,kafe,4,4.3,sessiz kitap tarihi kahve,41.026749,29.017156
295,Besiktas Sanat Galerisi (33),Istanbul,kultur,3,4.0,kahve tarihi gurme,41.040832,29.002715
296,Besiktas Lokantasi,Istanbul,restoran,4,4.5,tatli yesillik tarihi calisma kitap,41.043244,29.002068
297,Uskudar Lokantasi (34),Istanbul,restoran,4,4.1,romantik aile tarihi,41.029173,29.01412
298,Besiktas Mutfagi (35),Istanbul,restoran,1,4.5,romantik kitap deniz_manzarasi sessiz gurme,41.044157,29.003985
299,Karakoy Atolyesi (33),Istanbul,kultur,1,4.5,yesillik aile kahve,41.026169,28.98027
300,Moda Korusu (24),Istanbul,doga,2,4.6,aile romantik kitap,40.986895,29.032471
